Symbol,Stock Name,Matched SECURITY
SBILIFE,SBI LIFE INSURANCE COMPANY LTD,SBI LIFE INSURANCE CO LTD
MPHASIS,MPHASIS LIMITED,MPHASIS LIMITED
PERSISTENT,PERSISTENT SYSTEMS LIMITED,PERSISTENT SYSTEMS LTD
COFORGE,COFORGE (NIIT TECH),COFORGE LIMITED
MFSL,MAX FINANCIAL SERVICES LIMITED,MAX FINANCIAL SERV LTD
DELHIVERY,DELHIVERY LTD,DELHIVERY LIMITED
TCS,TATA CONSULTANCY SERVICES LIMITED,TATA CONSULTANCY SERV LT
TECHM,TECH MAHINDRA LIMITED,TECH MAHINDRA LIMITED
ULTRACEMCO,ULTRATECH CEMENT LIMITED,ULTRATECH CEMENT LIMITED
KPITTECH,KPIT TECHNOLOGIES LTD,KPIT TECHNOLOGIES LIMITED
INFY,INFOSYS LIMITED,INFOSYS LIMITED
INDUSINDBK,INDUSIND BANK LIMITED,INDUSIND BANK LIMITED
HINDUNILVR,HINDUSTAN UNILEVER LIMITED,HINDUSTAN UNILEVER LTD.
GRASIM,GRASIM INDUSTRIES LIMITED,GRASIM INDUSTRIES LTD
ICICIBANK,ICICI BANK LIMITED,ICICI BANK LTD.
PATANJALI,PATANJALI FOODS LTD,PATANJALI FOODS LIMITED
RELIANCE,RELIANCE INDUSTRIES LIMITED,RELIANCE INDUSTRIES LTD
POLYCAB,POLYCAB INDIA LTD,POLYCAB INDIA LIMITED
GODREJCP,GODREJ CONSUMER PRODUCTS LIMITED,GODREJ CONSUMER PRODUCTS
IEX,INDIAN ENERGY EXCHANGE LTD,INDIAN ENERGY EXC LTD
CHOLAFIN,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,CHOLAMANDALAM IN & FIN CO
HDFCBANK,HDFC BANK LIMITED,HDFC BANK LTD
HAVELLS,HAVELLS INDIA LIMITED,HAVELLS INDIA LIMITED
MARICO,MARICO LIMITED,MARICO LIMITED
DALBHARAT,DALMIA BHARAT LIMITED,DALMIA BHARAT LIMITED
KEI,KEI INDUSTRIES LIMITED,KEI INDUSTRIES LTD.
TATACONSUM,TATA CONSUMER PRODUCTS LTD,TATA CONSUMER PRODUCT LTD
TITAN,TITAN COMPANY LIMITED,TITAN COMPANY LIMITED
ITC,ITC LIMITED,ITC LTD
SHREECEM,SHREE CEMENTS LIMITED,SHREE CEMENT LIMITED
HCLTECH,HCL TECHNOLOGIES LIMITED,HCL TECHNOLOGIES LTD
HDFCLIFE,HDFC LIFE INSURANCE COMPANY LTD,HDFC LIFE INS CO LTD
BRITANNIA,BRITANNIA INDUSTRIES LIMITED,BRITANNIA INDUSTRIES LTD
WIPRO,WIPRO LIMITED,WIPRO LTD
LTIM,LTI MINDTREE LTD,LTIMINDTREE LIMITED
APLAPOLLO,APL APOLLO TUBES LIMITED,APL APOLLO TUBES LTD
NESTLEIND,NESTLE INDIA LIMITED,NESTLE INDIA LIMITED
OIL,OIL INDIA LIMITED,OIL INDIA LTD
MANAPPURAM,MANAPPURAM FINANCE LIMITED,MANAPPURAM FINANCE LTD
KOTAKBANK,KOTAK MAHINDRA BANK LIMITED,KOTAK MAHINDRA BANK LTD
INDIANB,INDIAN BANK,INDIAN BANK
LT,LARSEN & TOUBRO LIMITED,LARSEN & TOUBRO LTD.
UNITDSPR,UNITED SPIRITS LTD,UNITED SPIRITS LIMITED
AUBANK,AU SMALL FINANCE BANK,AU SMALL FINANCE BANK LTD
PAGEIND,PAGE INDUSTRIES LIMITED,PAGE INDUSTRIES LTD
SUNPHARMA,SUN PHARMACEUTICALS INDUSTRIES LIMITED,SUN PHARMACEUTICAL IND L
MRF,MRF LIMITED,MRF LTD
SUPREMEIND,SUPREME INDUSTRIES LIMITED,SUPREME INDUSTRIES LTD
HINDALCO,HINDALCO INDUSTRIES LIMITED,HINDALCO  INDUSTRIES  LTD
PETRONET,PETRONET LNG LIMITED,PETRONET LNG LIMITED
ICICIPRULI,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,ICICI PRU LIFE INS CO LTD
LODHA,MACROTECH DEVELOPERS LTD,MACROTECH DEVELOPERS LTD
ONGC,OIL & NATURAL GAS CORPORATION LIMITED,OIL AND NATURAL GAS CORP.
M&M,MAHINDRA & MAHINDRA LIMITED,M&M FIN. SERVICES LTD
TVSMOTOR,TVS MOTOR COMPANY LIMITED,TVS MOTOR COMPANY  LTD
EICHERMOT,EICHER MOTORS LIMITED,EICHER MOTORS LTD
ASIANPAINT,ASIAN PAINTS LIMITED,ASIAN PAINTS LIMITED
ICICIGI,ICICI LOMBARD GENERAL INSURANCE COMPANY LTD,ICICI LOMBARD GIC LIMITED
DABUR,DABUR INDIA LIMITED,DABUR INDIA LTD
NYKAA,FSN E-COMMERCE VENTURES LTD,FSN E COMMERCE VENTURES
HEROMOTOCO,HERO MOTOCORP LIMITED,HERO MOTOCORP LIMITED
M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,M&M FIN. SERVICES LTD
BOSCHLTD,BOSCH LIMITED,BOSCH LIMITED
BHARTIARTL,BHARTI AIRTEL LIMITED,BHARTI AIRTEL LIMITED
JSWSTEEL,JSW STEEL LIMITED,JSW STEEL LIMITED
NAUKRI,INFO EDGE (INDIA) LIMITED,INFO EDGE (I) LTD
ESCORTS,ESCORTS LIMITED,ESCORTS KUBOTA LIMITED
BHARATFORG,BHARAT FORGE LIMITED,BHARAT FORGE LTD
MARUTI,MARUTI SUZUKI INDIA LIMITED,MARUTI SUZUKI INDIA LTD.
