"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"73","SBI Life Insurance Company Ltd","SBILIFE","P&F | F.A","5.4%","1695.1","1,03,21,746"
"53","Mphasis Limited","MPHASIS","P&F | F.A","2.86%","2538.6","32,12,180"
"27","Persistent Systems Limited","PERSISTENT","P&F | F.A","2.27%","5273.5","13,91,012"
"15","Coforge (Niit Tech)","COFORGE","P&F | F.A","1.92%","7390","10,04,402"
"95","Max Financial Services Limited","MFSL","P&F | F.A","1.5%","1266.4","17,75,323"
"173","Delhivery Ltd","DELHIVERY","P&F | F.A","1.4%","304.9","93,17,417"
"38","Tata Consultancy Services Limited","TCS","P&F | F.A","1.36%","3448","27,42,991"
"86","Tech Mahindra Limited","TECHM","P&F | F.A","1.16%","1462","82,11,667"
"10","Ultratech Cement Limited","ULTRACEMCO","P&F | F.A","0.64%","12237","4,12,558"
"98","KPIT Technologies Ltd","KPITTECH","P&F | F.A","0.61%","1221","17,50,752"
"85","Infosys Limited","INFY","P&F | F.A","0.6%","1480.2","83,29,979"
"118","Indusind Bank Limited","INDUSINDBK","P&F | F.A","0.32%","822.35","1,17,24,192"
"58","Hindustan Unilever Limited","HINDUNILVR","P&F | F.A","0.3%","2332.2","28,59,858"
"50","Grasim Industries Limited","GRASIM","P&F | F.A","0.21%","2734.8","6,49,356"
"87","Icici Bank Limited","ICICIBANK","P&F | F.A","0.15%","1404.8","1,17,05,093"
"65","Patanjali Foods Ltd","PATANJALI","P&F | F.A","-0.08%","1967","7,21,638"
"92","Reliance Industries Limited","RELIANCE","P&F | F.A","-0.09%","1300.4","1,44,31,012"
"23","Polycab India Ltd","POLYCAB","P&F | F.A","-0.1%","5507","6,69,725"
"94","Godrej Consumer Products Limited","GODREJCP","P&F | F.A","-0.11%","1266.5","14,85,280"
"192","Indian Energy Exchange Ltd","IEX","P&F | F.A","-0.18%","190.5","6,34,50,190"
"82","Cholamandalam Investment And Finance Company Limited","CHOLAFIN","P&F | F.A","-0.28%","1543.5","17,77,628"
"69","Hdfc Bank Limited","HDFCBANK","P&F | F.A","-0.29%","1911.2","92,50,439"
"77","Havells India Limited","HAVELLS","P&F | F.A","-0.3%","1599.8","20,10,475"
"124","Marico Limited","MARICO","P&F | F.A","-0.33%","710.4","15,66,764"
"66","Dalmia Bharat Limited","DALBHARAT","P&F | F.A","-0.42%","1965.9","12,18,246"
"45","Kei Industries Limited","KEI","P&F | F.A","-0.45%","2967.1","4,71,789"
"104","TATA Consumer Products Ltd","TATACONSUM","P&F | F.A","-0.48%","1155.7","14,51,946"
"39","Titan Company Limited","TITAN","P&F | F.A","-0.51%","3365.2","7,04,325"
"155","Itc Limited","ITC","P&F | F.A","-0.52%","427.8","2,29,44,377"
"5","Shree Cements Limited","SHREECEM","P&F | F.A","-0.54%","30540","26,946"
"79","Hcl Technologies Limited","HCLTECH","P&F | F.A","-0.54%","1578.2","38,00,415"
"125","HDFC Life Insurance Company Ltd","HDFCLIFE","P&F | F.A","-0.54%","704.55","37,14,671"
"25","Britannia Industries Limited","BRITANNIA","P&F | F.A","-0.76%","5420.5","2,44,513"
"181","Wipro Limited","WIPRO","P&F | F.A","-0.76%","240.9","1,66,20,430"
"30","LTI Mindtree Ltd","LTIM","P&F | F.A","-0.78%","4498.3","5,89,535"
"75","Apl Apollo Tubes Limited","APLAPOLLO","P&F | F.A","-0.8%","1616.9","5,74,766"
"56","Nestle India Limited","NESTLEIND","P&F | F.A","-0.81%","2413.5","11,28,284"
"159","Oil India Limited","OIL","P&F | F.A","-0.81%","399.35","28,20,294"
"183","Manappuram Finance Limited","MANAPPURAM","P&F | F.A","-0.83%","226.93","71,06,833"
"60","Kotak Mahindra Bank Limited","KOTAKBANK","P&F | F.A","-0.84%","2204.4","21,36,003"
"142","Indian Bank","INDIANB","P&F | F.A","-0.84%","569.2","23,44,129"
"7","NIFTY","NIFTY","P&F | F.A","-0.86%","24039.35","0"
"41","Larsen & Toubro Limited","LT","P&F | F.A","-0.86%","3272.1","20,04,819"
"81","United Spirits Ltd","UNITDSPR","P&F | F.A","-0.86%","1547.4","5,17,429"
"130","AU Small Finance Bank","AUBANK","P&F | F.A","-0.87%","675.15","40,93,320"
"4","Page Industries Limited","PAGEIND","P&F | F.A","-0.91%","44605","18,414"
"72","Sun Pharmaceuticals Industries Limited","SUNPHARMA","P&F | F.A","-0.91%","1787.4","20,36,801"
"1","Mrf Limited","MRF","P&F | F.A","-0.97%","128655","7,468"
"2","BANKNIFTY","BANKNIFTY","P&F | F.A","-0.97%","54664.05","0"
"37","Supreme Industries Limited","SUPREMEIND","P&F | F.A","-0.97%","3477.8","2,39,037"
"138","Hindalco Industries Limited","HINDALCO","P&F | F.A","-0.99%","622.1","39,25,971"
"171","Petronet Lng Limited","PETRONET","P&F | F.A","-1.04%","309.4","32,82,909"
"140","Icici Prudential Life Insurance Company Limited","ICICIPRULI","P&F | F.A","-1.09%","595.8","18,61,383"
"91","Macrotech Developers Ltd","LODHA","P&F | F.A","-1.14%","1305.1","47,99,027"
"180","Oil & Natural Gas Corporation Limited","ONGC","P&F | F.A","-1.22%","246.33","1,56,16,265"
"46","Mahindra & Mahindra Limited","M&M","P&F | F.A","-1.28%","2864.2","22,99,310"
"49","Tvs Motor Company Limited","TVSMOTOR","P&F | F.A","-1.3%","2737.9","7,11,996"
"22","Eicher Motors Limited","EICHERMOT","P&F | F.A","-1.33%","5575.5","4,57,510"
"55","Asian Paints Limited","ASIANPAINT","P&F | F.A","-1.33%","2431.6","7,02,217"
"70","ICICI Lombard General Insurance Company Ltd","ICICIGI","P&F | F.A","-1.39%","1854.1","9,34,598"
"148","Dabur India Limited","DABUR","P&F | F.A","-1.44%","484.6","13,69,564"
"191","FSN E-Commerce Ventures Ltd","NYKAA","P&F | F.A","-1.44%","191.57","52,96,829"
"35","Hero Motocorp Limited","HEROMOTOCO","P&F | F.A","-1.49%","3895.5","6,52,719"
"176","Mahindra & Mahindra Financial Services Limited","M&MFIN","P&F | F.A","-1.49%","264.6","24,99,342"
"6","Bosch Limited","BOSCHLTD","P&F | F.A","-1.53%","27995","29,555"
"71","Bharti Airtel Limited","BHARTIARTL","P&F | F.A","-1.54%","1817.2","45,70,083"
"107","Jsw Steel Limited","JSWSTEEL","P&F | F.A","-1.54%","1028.4","27,84,217"
"16","Info Edge (india) Limited","NAUKRI","P&F | F.A","-1.61%","7038.5","2,12,327"
"40","Escorts Limited","ESCORTS","P&F | F.A","-1.61%","3333.7","2,41,549"
"105","Bharat Forge Limited","BHARATFORG","P&F | F.A","-1.63%","1088.5","13,92,564"
"11","Maruti Suzuki India Limited","MARUTI","P&F | F.A","-1.65%","11698","9,06,266"
"158","Vedanta Limited","VEDL","P&F | F.A","-1.65%","413.3","1,12,05,671"
"84","Cipla Limited","CIPLA","P&F | F.A","-1.66%","1525.9","13,53,813"
"129","Chambal Fertilizers & Chemicals Limited","CHAMBLFERT","P&F | F.A","-1.66%","676.85","16,93,632"
"161","Coal India Limited","COALINDIA","P&F | F.A","-1.68%","393.15","73,37,588"
"113","Jindal Steel & Power Limited","JINDALSTEL","P&F | F.A","-1.78%","891.8","12,53,219"
"119","State Bank Of India","SBIN","P&F | F.A","-1.81%","798.65","1,31,31,038"
"204","Motherson Sumi Systems Limited","MOTHERSON","P&F | F.A","-1.82%","133.71","2,54,85,740"
"13","Oracle Financial Services Software Limited","OFSS","P&F | F.A","-1.84%","8604","2,79,186"
"168","Ntpc Limited","NTPC","P&F | F.A","-1.86%","356.45","97,85,640"
